城市,日期,AQI指数,空气质量级别,首要污染物
临汾市,2016-01-01,230,重度污染,PM2.5
临汾市,2016-01-02,252,重度污染,PM2.5
临汾市,2016-01-03,288,重度污染,PM2.5
临汾市,2016-01-04,241,重度污染,PM2.5
临汾市,2016-01-05,172,中度污染,PM2.5
临汾市,2016-01-06,55,良,PM10
临汾市,2016-01-07,63,良,CO
临汾市,2016-01-08,82,良,CO
临汾市,2016-01-09,117,轻度污染,PM2.5
临汾市,2016-01-10,173,中度污染,PM2.5
临汾市,2016-01-11,99,良,PM2.5
临汾市,2016-01-12,130,轻度污染,PM2.5
临汾市,2016-01-13,71,良,CO
临汾市,2016-01-14,79,良,CO
临汾市,2016-01-15,122,轻度污染,PM2.5
临汾市,2016-01-16,173,中度污染,PM2.5
临汾市,2016-01-17,79,良,PM2.5
临汾市,2016-01-18,43,优,
临汾市,2016-01-19,82,良,PM2.5
临汾市,2016-01-20,115,轻度污染,PM2.5
临汾市,2016-01-21,140,轻度污染,PM2.5
临汾市,2016-01-22,72,良,PM2.5
临汾市,2016-01-23,60,良,CO
临汾市,2016-01-24,62,良,CO
临汾市,2016-01-25,101,轻度污染,CO
临汾市,2016-01-26,200,中度污染,PM2.5
临汾市,2016-01-27,130,轻度污染,PM2.5
临汾市,2016-01-28,215,重度污染,PM2.5
临汾市,2016-01-29,216,重度污染,PM2.5
临汾市,2016-01-30,169,中度污染,PM2.5
临汾市,2016-01-30,169,中度污染,PM2.5
临汾市,2016-01-31,73,良,CO
临汾市,2016-02-01,90,良,CO
临汾市,2016-02-02,120,轻度污染,PM2.5
临汾市,2016-02-03,138,轻度污染,PM2.5
临汾市,2016-02-04,160,中度污染,PM2.5
临汾市,2016-02-05,73,良,CO
临汾市,2016-02-06,97,良,CO
临汾市,2016-02-07,98,良,CO
临汾市,2016-02-08,220,重度污染,PM2.5
临汾市,2016-02-09,128,轻度污染,PM2.5
临汾市,2016-02-10,114,轻度污染,PM2.5
临汾市,2016-02-11,158,中度污染,PM2.5
临汾市,2016-02-12,148,轻度污染,PM2.5
临汾市,2016-02-13,51,良,CO
临汾市,2016-02-14,54,良,CO
临汾市,2016-02-15,54,良,CO
临汾市,2016-02-16,61,良,CO
临汾市,2016-02-17,109,轻度污染,PM2.5
临汾市,2016-02-18,123,轻度污染,PM2.5
临汾市,2016-02-19,73,良,PM10
临汾市,2016-02-20,55,良,CO
临汾市,2016-02-21,98,良,PM2.5
临汾市,2016-02-22,153,中度污染,PM2.5
临汾市,2016-02-23,55,良,CO
临汾市,2016-02-24,83,良,PM2.5
临汾市,2016-02-25,99,良,PM2.5
临汾市,2016-02-26,67,良,CO
临汾市,2016-02-27,102,轻度污染,PM2.5
临汾市,2016-02-28,50,优,
临汾市,2016-02-28,50,优,
临汾市,2016-02-29,67,良,CO
临汾市,2016-03-01,87,良,PM2.5
临汾市,2016-03-02,125,轻度污染,PM2.5
临汾市,2016-03-03,114,轻度污染,PM2.5
临汾市,2016-03-04,118,轻度污染,PM10
临汾市,2016-03-05,114,轻度污染,PM10
临汾市,2016-03-06,147,轻度污染,CO
临汾市,2016-03-07,86,良,PM10
临汾市,2016-03-08,87,良,PM2.5
临汾市,2016-03-09,64,良,"PM10,PM2.5"
临汾市,2016-03-10,34,优,
临汾市,2016-03-11,58,良,PM10
临汾市,2016-03-12,64,良,"PM10,PM2.5"
临汾市,2016-03-13,38,优,
临汾市,2016-03-14,56,良,PM10
临汾市,2016-03-15,85,良,PM2.5
临汾市,2016-03-16,90,良,PM2.5
临汾市,2016-03-17,102,轻度污染,PM2.5
临汾市,2016-03-18,114,轻度污染,PM2.5
临汾市,2016-03-19,95,良,PM10
临汾市,2016-03-20,107,轻度污染,PM10
临汾市,2016-03-21,92,良,PM10
临汾市,2016-03-22,80,良,PM10
临汾市,2016-03-23,92,良,PM10
临汾市,2016-03-24,90,良,PM2.5
临汾市,2016-03-25,83,良,PM2.5
临汾市,2016-03-26,73,良,PM10
临汾市,2016-03-27,61,良,PM10
临汾市,2016-03-28,75,良,PM10
临汾市,2016-03-28,75,良,PM10
临汾市,2016-03-29,69,良,PM10
临汾市,2016-03-30,78,良,PM10
临汾市,2016-03-31,82,良,PM10
临汾市,2016-04-01,87,良,PM10
临汾市,2016-04-02,100,良,PM10
临汾市,2016-04-03,52,良,CO
临汾市,2016-04-04,71,良,PM10
临汾市,2016-04-05,102,轻度污染,PM2.5
临汾市,2016-04-06,143,轻度污染,PM2.5
临汾市,2016-04-07,101,轻度污染,PM10
临汾市,2016-04-08,80,良,PM10
临汾市,2016-04-09,70,良,"PM10,CO"
临汾市,2016-04-10,75,良,PM10
临汾市,2016-04-11,96,良,PM10
临汾市,2016-04-12,68,良,PM10
临汾市,2016-04-13,78,良,PM10
临汾市,2016-04-14,74,良,PM10
临汾市,2016-04-15,74,良,PM10
临汾市,2016-04-16,54,良,CO
临汾市,2016-04-17,66,良,PM10
临汾市,2016-04-18,73,良,PM10
临汾市,2016-04-19,74,良,PM10
临汾市,2016-04-20,94,良,PM10
临汾市,2016-04-21,88,良,CO
临汾市,2016-04-22,82,良,PM10
临汾市,2016-04-23,77,良,"PM10,CO"
临汾市,2016-04-24,63,良,"PM10,CO"
临汾市,2016-04-25,71,良,"PM10,臭氧8小时"
临汾市,2016-04-26,64,良,"PM10,CO"
临汾市,2016-04-26,64,良,"PM10,CO"
临汾市,2016-04-27,64,良,PM2.5
临汾市,2016-04-28,80,良,臭氧8小时
临汾市,2016-04-29,73,良,PM2.5
临汾市,2016-04-30,93,良,PM10
临汾市,2016-05-01,77,良,"PM10,臭氧8小时"
临汾市,2016-05-02,74,良,PM10
临汾市,2016-05-03,86,良,臭氧8小时
临汾市,2016-05-04,102,轻度污染,臭氧8小时
临汾市,2016-05-05,85,良,PM10
临汾市,2016-05-06,82,良,PM10
临汾市,2016-05-07,55,良,PM10
临汾市,2016-05-08,68,良,CO
临汾市,2016-05-09,102,轻度污染,PM2.5
临汾市,2016-05-10,110,轻度污染,臭氧8小时
临汾市,2016-05-11,103,轻度污染,臭氧8小时
临汾市,2016-05-12,114,轻度污染,PM10
临汾市,2016-05-13,64,良,PM10
临汾市,2016-05-14,65,良,PM2.5
临汾市,2016-05-15,63,良,PM10
临汾市,2016-05-16,79,良,"PM10,臭氧8小时"
临汾市,2016-05-17,90,良,臭氧8小时
临汾市,2016-05-18,110,轻度污染,臭氧8小时
临汾市,2016-05-19,84,良,PM2.5
